B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDWI,NDVI,output1
0.0627,0.0502,0.0625,0.0719,0.0961,0.1446,0.1433,0.1901,0.1828,0.1555,0.179,0.1525,-0.5051465,0.45114502,0
0.0627,0.0839,0.1094,0.1146,0.0961,0.1446,0.1433,0.1644,0.1828,0.1555,0.179,0.1525,-0.20087655,0.1784946,0
0.0627,0.0839,0.1094,0.1146,0.1091,0.1093,0.1186,0.1644,0.1277,0.1555,0.1617,0.1303,-0.20087655,0.1784946,0
0.0627,0.0724,0.0959,0.1072,0.1091,0.1093,0.1186,0.1494,0.1277,0.1555,0.1617,0.1303,-0.21810028,0.1644583,0
0.066,0.0803,0.1114,0.1144,0.0699,0.0851,0.0904,0.1484,0.1014,0.1565,0.1259,0.1033,-0.14241722,0.12937593,0
0.066,0.0604,0.0791,0.0828,0.0699,0.0851,0.0904,0.1224,0.1014,0.1565,0.1259,0.1033,-0.21488835,0.19298245,0
0.066,0.085,0.135,0.118,0.1033,0.1558,0.1577,0.2192,0.1846,0.1565,0.1587,0.1181,-0.23771879,0.30011863,0
0.066,0.114,0.16,0.1446,0.1033,0.1558,0.1577,0.2744,0.1846,0.1565,0.1587,0.1181,-0.26335174,0.3097852,0
0.066,0.1226,0.1518,0.1464,0.1075,0.1787,0.1883,0.2186,0.2251,0.1565,0.1922,0.1475,-0.18034557,0.19780822,0
0.066,0.1023,0.129,0.1342,0.1075,0.1787,0.1883,0.1881,0.2251,0.1565,0.1922,0.1475,-0.18637656,0.16723546,0
0.0795,0.0599,0.0753,0.0692,0.1036,0.1405,0.1711,0.1973,0.1884,0.1586,0.1893,0.1603,-0.4475422,0.48067543,0
0.0795,0.0599,0.0753,0.0692,0.1036,0.1405,0.1711,0.1973,0.1884,0.1586,0.1893,0.1603,-0.4475422,0.48067543,0
0.0795,0.0679,0.0805,0.0777,0.1321,0.1366,0.1459,0.1888,0.156,0.1586,0.1827,0.161,-0.40215376,0.41688558,0
0.0795,0.1003,0.1146,0.1244,0.1321,0.1366,0.1459,0.1572,0.156,0.1586,0.1827,0.161,-0.15673286,0.116477266,0
0.0795,0.094,0.117,0.1218,0.1362,0.1538,0.1635,0.1476,0.1705,0.1586,0.1858,0.1669,-0.11564625,0.09576837,0
0.0795,0.0913,0.1092,0.112,0.1362,0.1538,0.1635,0.1302,0.1705,0.1586,0.1858,0.1669,-0.08771929,0.075144485,0
0.0841,0.1008,0.1194,0.1288,0.1362,0.1538,0.1635,0.1506,0.1705,0.1638,0.1858,0.1669,-0.115555555,0.07802432,0
0.0841,0.0934,0.1114,0.122,0.1362,0.1538,0.1635,0.1534,0.1705,0.1638,0.1858,0.1669,-0.15861028,0.11401598,0
0.0841,0.1086,0.1116,0.1202,0.1344,0.1363,0.1827,0.155,0.1636,0.1638,0.2095,0.18,-0.16279072,0.12645349,0
0.0841,0.0858,0.103,0.1092,0.1344,0.1363,0.1827,0.1443,0.1636,0.1638,0.2095,0.18,-0.16700363,0.13846153,0
0.0841,0.063,0.0778,0.077,0.0946,0.0978,0.1112,0.0991,0.1137,0.1638,0.178,0.1619,-0.12040703,0.12549688,0
0.0841,0.063,0.0778,0.077,0.0946,0.0978,0.1112,0.0991,0.1137,0.1638,0.178,0.1619,-0.12040703,0.12549688,0
0.0879,0.0649,0.0825,0.0931,0.1119,0.1177,0.1221,0.1118,0.1334,0.1959,0.1835,0.1574,-0.15079771,0.091264054,0
0.0879,0.0958,0.116,0.1238,0.1119,0.1177,0.1221,0.1434,0.1334,0.1959,0.1835,0.1574,-0.10562838,0.07335328,0
0.0879,0.1698,0.2088,0.2414,0.2179,0.2286,0.2284,0.2498,0.2432,0.1959,0.2559,0.2277,-0.08940252,0.017100964,0
0.0879,0.1736,0.2188,0.2476,0.2179,0.2286,0.2284,0.2923,0.2432,0.1959,0.2559,0.2277,-0.14380747,0.08279308,0
0.0879,0.1224,0.1576,0.1832,0.1849,0.193,0.1986,0.2283,0.2096,0.1959,0.2623,0.2392,-0.1832081,0.10959903,0
0.0879,0.1052,0.1318,0.1482,0.1849,0.193,0.1986,0.1905,0.2096,0.1959,0.2623,0.2392,-0.18212849,0.124889284,0
0.0772,0.113,0.144,0.1658,0.1709,0.1854,0.1913,0.2171,0.1926,0.1889,0.2236,0.2178,-0.20243701,0.13397752,0
0.0772,0.1144,0.1506,0.1742,0.1709,0.1854,0.1913,0.2165,0.1926,0.1889,0.2236,0.2178,-0.17951511,0.10826722,0
0.0772,0.1144,0.1506,0.1742,0.1334,0.1278,0.141,0.2165,0.1468,0.1889,0.1996,0.1794,-0.17951511,0.10826722,0
0.0772,0.1088,0.117,0.1296,0.1334,0.1278,0.141,0.1628,0.1468,0.1889,0.1996,0.1794,-0.16368835,0.11354308,0
0.0772,0.102,0.1202,0.1318,0.1306,0.1814,0.2112,0.1758,0.2258,0.1889,0.1846,0.1514,-0.18783782,0.14304292,0
0.0772,0.0861,0.113,0.1088,0.1306,0.1814,0.2112,0.1672,0.2258,0.1889,0.1846,0.1514,-0.19343327,0.2115942,0
0.0772,0.0847,0.1074,0.1094,0.1306,0.1814,0.2112,0.2042,0.2258,0.1889,0.1846,0.1514,-0.31065467,0.30229592,0
