Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	quality_aot	quality_wvp	quality_cloud_confidence	quality_snow_confidence	quality_scene_classification	view_zenith_mean	view_azimuth_mean	sun_zenith	sun_azimuth	view_zenith_B1	view_azimuth_B1	view_zenith_B2	view_azimuth_B2	view_zenith_B3	view_azimuth_B3	view_zenith_B4	view_azimuth_B4	view_zenith_B5	view_azimuth_B5	view_zenith_B6	view_azimuth_B6	view_zenith_B7	view_azimuth_B7	view_zenith_B8	view_azimuth_B8	view_zenith_B8A	view_azimuth_B8A	view_zenith_B9	view_azimuth_B9	view_zenith_B10	view_azimuth_B10	view_zenith_B11	view_azimuth_B11	view_zenith_B12	view_azimuth_B12	tco3	tcwv	msl	NDWI	NDVI
85.5	13.5	78.18056683638834	29.978364628069265	0.0692	0.0596	0.0739	0.0816	0.1199	0.1566	0.1646	0.1755	0.1649	0.1598	0.192	0.1628	0.091	1.608	NaN	NaN	5	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.668802	0.0055379975	101353.67	-0.40737772	0.36522755
86.5	13.5	78.18065900337187	29.978364628069265	0.0692	0.0681	0.0978	0.1084	0.1177	0.1085	0.1247	0.1506	0.1454	0.1598	0.1655	0.1316	0.091	1.576	NaN	NaN	5	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.668118	0.0055379826	101353.69	-0.21256039	0.16293436
87.5	13.5	78.1807511703554	29.978364628069265	0.0692	0.0705	0.0691	0.0778	0.1177	0.1085	0.1247	0.104	0.1454	0.1598	0.1655	0.1316	0.091	1.576	NaN	NaN	5	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.667433	0.005537968	101353.7	-0.20161757	0.14411443
88.5	13.5	78.18084333733894	29.978364628069265	0.0692	0.0879	0.1134	0.1384	0.1199	0.1244	0.1388	0.1448	0.1373	0.1598	0.1728	0.1533	0.091	1.576	NaN	NaN	5	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.666748	0.0055379537	101353.72	-0.12161119	0.022598883
89.5	13.5	78.18093550432248	29.978364628069265	0.0692	0.111	0.1272	0.1372	0.1199	0.1244	0.1388	0.1614	0.1373	0.1598	0.1728	0.1533	0.091	1.576	NaN	NaN	5	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.666063	0.0055379393	101353.734	-0.11850311	0.0810449
90.5	13.5	78.18102767130601	29.978364628069265	0.0722	0.1008	0.1186	0.125	0.1134	0.1254	0.1219	0.1411	0.1418	0.1538	0.1856	0.1684	0.091	1.548	NaN	NaN	5	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.665379	0.005537925	101353.75	-0.08663843	0.060503587
198.5	13.5	78.19098170552763	29.978364628069265	0.1328	0.1606	0.1932	0.2078	0.2163	0.2149	0.2228	0.2205	0.2227	0.1592	0.2533	0.229	0.092	1.265	12	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.599575	0.0055365157	101355.12	-0.065989845	0.029652128
199.5	13.5	78.19107387251117	29.978364628069265	0.1328	0.163	0.1912	0.2066	0.2163	0.2149	0.2228	0.2183	0.2227	0.1592	0.2533	0.229	0.092	1.265	12	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.59889	0.005536501	101355.13	-0.066178255	0.0275359
200.5	13.5	78.1911660394947	29.978364628069265	0.1328	0.1566	0.1858	0.2098	0.219	0.2243	0.2307	0.2217	0.2324	0.1592	0.2659	0.2452	0.092	1.265	11	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.598207	0.0055364864	101355.15	-0.08809815	0.0275782
84.5	14.5	78.1804746694048	29.978272461085734	0.0692	0.0628	0.08	0.0946	0.1438	0.1659	0.1644	0.167	0.1724	0.1598	0.2092	0.185	0.091	1.608	NaN	NaN	7	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.669449	0.005538007	101353.65	-0.3522267	0.2767584
