Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDVI	NDBI	NDWI
86.5	45.5	78.09329946822344	29.902393434758146	0.0469	0.0575	0.0808	0.0886	0.1147	0.1881	0.2203	0.202	0.2395	0.229	0.2246	0.1571	0.3902271	0.052977014	-0.42857146
87.5	45.5	78.09339170791822	29.902393434758146	0.0469	0.0417	0.0678	0.068	0.1147	0.1881	0.2203	0.199	0.2395	0.229	0.2246	0.1571	0.49063668	0.060434375	-0.4917541
29.5	46.5	78.08804180562117	29.90230119506337	0.0413	0.0475	0.0692	0.058	0.0977	0.2791	0.3316	0.3495	0.3615	0.3128	0.194	0.1103	0.71533746	-0.28610855	-0.6694531
30.5	46.5	78.08813404531595	29.90230119506337	0.0396	0.0441	0.075	0.0624	0.1238	0.2754	0.3295	0.3415	0.3535	0.3128	0.21	0.1277	0.6910126	-0.23844065	-0.6398559
31.5	46.5	78.08822628501073	29.90230119506337	0.0396	0.0623	0.0903	0.0868	0.1238	0.2754	0.3295	0.3175	0.3535	0.3128	0.21	0.1277	0.5706159	-0.20379148	-0.5571358
32.5	46.5	78.0883185247055	29.90230119506337	0.04	0.0622	0.0929	0.094	0.1454	0.2421	0.2732	0.2712	0.2966	0.3128	0.2206	0.1431	0.4852136	-0.10288737	-0.48970065
33.5	46.5	78.08841076440028	29.90230119506337	0.04	0.0617	0.0946	0.0971	0.1454	0.2421	0.2732	0.2498	0.2966	0.3128	0.2206	0.1431	0.4401845	-0.062074836	-0.4506388
34.5	46.5	78.08850300409506	29.90230119506337	0.0413	0.0696	0.1005	0.1028	0.1496	0.2139	0.2408	0.2331	0.2613	0.2997	0.2249	0.1566	0.38791308	-0.017903907	-0.397482
35.5	46.5	78.08859524378984	29.90230119506337	0.0413	0.0554	0.0902	0.0862	0.1496	0.2139	0.2408	0.2433	0.2613	0.2997	0.2249	0.1566	0.476783	-0.03929944	-0.45907047
36.5	46.5	78.0886874834846	29.90230119506337	0.0429	0.0512	0.0786	0.0768	0.1316	0.2086	0.2345	0.2482	0.2523	0.2997	0.2227	0.1604	0.5273846	-0.054151624	-0.51897186
37.5	46.5	78.08877972317939	29.90230119506337	0.0429	0.0714	0.1068	0.1112	0.1316	0.2086	0.2345	0.241	0.2523	0.2997	0.2227	0.1604	0.3685406	-0.039465167	-0.38585395
38.5	46.5	78.08887196287417	29.90230119506337	0.0429	0.0714	0.1068	0.1112	0.1316	0.2086	0.2345	0.241	0.2523	0.2997	0.2227	0.1604	0.3685406	-0.039465167	-0.38585395
39.5	46.5	78.08896420256895	29.90230119506337	0.0436	0.0621	0.0906	0.0952	0.1405	0.2525	0.2798	0.2274	0.3084	0.2997	0.2096	0.1446	0.4097954	-0.040732272	-0.4301887
40.5	46.5	78.08905644226371	29.90230119506337	0.0436	0.058	0.0922	0.0877	0.1405	0.2525	0.2798	0.2602	0.3084	0.2997	0.2096	0.1446	0.49583212	-0.10770539	-0.47673097
41.5	46.5	78.08914868195849	29.90230119506337	0.0441	0.0489	0.0882	0.0717	0.1363	0.2973	0.3239	0.3148	0.3506	0.3361	0.2115	0.1256	0.628978	-0.19627587	-0.56228286
42.5	46.5	78.08924092165327	29.90230119506337	0.0441	0.0528	0.0886	0.0728	0.1363	0.2973	0.3239	0.3176	0.3506	0.3361	0.2115	0.1256	0.6270492	-0.2005292	-0.5637617
43.5	46.5	78.08933316134805	29.90230119506337	0.0456	0.0496	0.0864	0.07	0.1466	0.2823	0.3138	0.314	0.3407	0.3361	0.2269	0.1441	0.6354167	-0.16102794	-0.56843156
44.5	46.5	78.08942540104282	29.90230119506337	0.0456	0.078	0.116	0.1144	0.1466	0.2823	0.3138	0.3208	0.3407	0.3361	0.2269	0.1441	0.4742647	-0.17144424	-0.4688645
45.5	46.5	78.0895176407376	29.90230119506337	0.0494	0.1024	0.1404	0.1512	0.1618	0.2642	0.2974	0.2894	0.3139	0.3361	0.2372	0.1553	0.3136632	-0.09912647	-0.34667286
46.5	46.5	78.08960988043238	29.90230119506337	0.0494	0.061	0.1	0.0886	0.1618	0.2642	0.2974	0.2714	0.3139	0.3361	0.2372	0.1553	0.50777775	-0.067243405	-0.46149704
47.5	46.5	78.08970212012716	29.90230119506337	0.0494	0.061	0.1	0.0886	0.1618	0.2642	0.2974	0.2714	0.3139	0.3361	0.2372	0.1553	0.50777775	-0.067243405	-0.46149704
48.5	46.5	78.08979435982192	29.90230119506337	0.054	0.0672	0.1023	0.0889	0.1399	0.2554	0.2781	0.2888	0.2968	0.3045	0.2307	0.1524	0.52925605	-0.1118383	-0.47686014
49.5	46.5	78.0898865995167	29.90230119506337	0.054	0.0714	0.0968	0.0949	0.1399	0.2554	0.2781	0.2832	0.2968	0.3045	0.2307	0.1524	0.49801642	-0.10215995	-0.49052632
50.5	46.5	78.08997883921148	29.90230119506337	0.057	0.0794	0.11	0.1104	0.1499	0.2421	0.2749	0.2677	0.2927	0.3045	0.2338	0.1623	0.4160275	-0.067597196	-0.4175271
51.5	46.5	78.09007107890626	29.90230119506337	0.057	0.0802	0.1064	0.111	0.1499	0.2421	0.2749	0.2724	0.2927	0.3045	0.2338	0.1623	0.42097026	-0.07625444	-0.43822598
52.5	46.5	78.09016331860103	29.90230119506337	0.0566	0.0645	0.088	0.083	0.1501	0.2483	0.2741	0.3034	0.2911	0.3045	0.2333	0.1691	0.5703934	-0.13061301	-0.5503321
53.5	46.5	78.09025555829581	29.90230119506337	0.0566	0.0814	0.105	0.1005	0.1501	0.2483	0.2741	0.2908	0.2911	0.3045	0.2333	0.1691	0.48632762	-0.10971189	-0.46942902
54.5	46.5	78.09034779799059	29.90230119506337	0.0546	0.0999	0.1196	0.123	0.1546	0.2402	0.2638	0.2624	0.2854	0.3187	0.2266	0.1612	0.3617021	-0.07321062	-0.373822
55.5	46.5	78.09044003768537	29.90230119506337	0.0546	0.0805	0.1096	0.107	0.1546	0.2402	0.2638	0.2784	0.2854	0.3187	0.2266	0.1612	0.44473276	-0.10257425	-0.43505156
56.5	46.5	78.09053227738013	29.90230119506337	0.0546	0.0805	0.1096	0.107	0.1546	0.2402	0.2638	0.2784	0.2854	0.3187	0.2266	0.1612	0.44473276	-0.10257425	-0.43505156
57.5	46.5	78.09062451707491	29.90230119506337	0.0524	0.0731	0.105	0.0947	0.1386	0.266	0.2964	0.2958	0.3158	0.3187	0.2223	0.1461	0.5149808	-0.14186452	-0.4760479
58.5	46.5	78.0907167567697	29.90230119506337	0.0524	0.075	0.105	0.0972	0.1386	0.266	0.2964	0.2946	0.3158	0.3187	0.2223	0.1461	0.5038285	-0.13987234	-0.4744745
59.5	46.5	78.09080899646447	29.90230119506337	0.0501	0.0753	0.0995	0.0936	0.1339	0.2752	0.3158	0.3153	0.3349	0.3187	0.2205	0.142	0.5421863	-0.17693165	-0.5202507
60.5	46.5	78.09090123615924	29.90230119506337	0.0501	0.0634	0.0924	0.0867	0.1339	0.2752	0.3158	0.3181	0.3349	0.3187	0.2205	0.142	0.5716403	-0.18121053	-0.5498173
61.5	46.5	78.09099347585402	29.90230119506337	0.0473	0.057	0.0979	0.0874	0.1332	0.2731	0.3128	0.3031	0.3324	0.325	0.2217	0.1433	0.55236876	-0.1551067	-0.51172066
62.5	46.5	78.0910857155488	29.90230119506337	0.0473	0.0688	0.1046	0.0966	0.1332	0.2731	0.3128	0.3007	0.3324	0.325	0.2217	0.1433	0.5137176	-0.15122513	-0.48383915
63.5	46.5	78.09117795524358	29.90230119506337	0.0442	0.0678	0.0996	0.0903	0.1274	0.2753	0.3165	0.3212	0.3349	0.325	0.2298	0.1522	0.5611179	-0.16588023	-0.526616
64.5	46.5	78.09127019493835	29.90230119506337	0.0442	0.0485	0.0771	0.0633	0.1274	0.2753	0.3165	0.3116	0.3349	0.325	0.2298	0.1522	0.66230994	-0.15108976	-0.603293
65.5	46.5	78.09136243463313	29.90230119506337	0.0442	0.0485	0.0771	0.0633	0.1274	0.2753	0.3165	0.3116	0.3349	0.325	0.2298	0.1522	0.66230994	-0.15108976	-0.603293
66.5	46.5	78.0914546743279	29.90230119506337	0.04	0.0666	0.098	0.1004	0.1527	0.2499	0.2768	0.2932	0.2964	0.325	0.2356	0.168	0.48983738	-0.10892586	-0.4989775
67.5	46.5	78.09154691402269	29.90230119506337	0.04	0.0751	0.1216	0.1102	0.1527	0.2499	0.2768	0.2931	0.2964	0.325	0.2356	0.168	0.45350856	-0.10875734	-0.41355196
68.5	46.5	78.09163915371745	29.90230119506337	0.0361	0.0604	0.1005	0.0924	0.113	0.2326	0.27	0.2806	0.2984	0.3032	0.2031	0.131	0.50455767	-0.1602233	-0.4725794
69.5	46.5	78.09173139341223	29.90230119506337	0.0361	0.0475	0.0744	0.065	0.113	0.2326	0.27	0.2648	0.2984	0.3032	0.2031	0.131	0.6058217	-0.13186581	-0.5613208
70.5	46.5	78.09182363310701	29.90230119506337	0.0341	0.0373	0.0568	0.0469	0.0919	0.23	0.2682	0.2648	0.2979	0.3032	0.1552	0.0882	0.6990696	-0.26095238	-0.6467662
71.5	46.5	78.09191587280179	29.90230119506337	0.0341	0.0406	0.0563	0.0445	0.0919	0.23	0.2682	0.2815	0.2979	0.3032	0.1552	0.0882	0.72699386	-0.28921458	-0.6666667
72.5	46.5	78.09200811249657	29.90230119506337	0.0368	0.0386	0.0598	0.05	0.0791	0.2132	0.2605	0.2877	0.2893	0.3032	0.1413	0.0829	0.7038792	-0.34125876	-0.65582734
73.5	46.5	78.09210035219134	29.90230119506337	0.0368	0.0378	0.0562	0.0484	0.0791	0.2132	0.2605	0.2599	0.2893	0.3032	0.1413	0.0829	0.68602014	-0.2956132	-0.64441633
74.5	46.5	78.09219259188612	29.90230119506337	0.0368	0.0378	0.0562	0.0484	0.0791	0.2132	0.2605	0.2599	0.2893	0.3032	0.1413	0.0829	0.68602014	-0.2956132	-0.64441633
75.5	46.5	78.0922848315809	29.90230119506337	0.0421	0.031	0.0482	0.0451	0.0954	0.2065	0.2476	0.2338	0.2609	0.2572	0.1765	0.1216	0.67658657	-0.13965392	-0.65815604
76.5	46.5	78.09237707127568	29.90230119506337	0.0421	0.0396	0.0596	0.0594	0.0954	0.2065	0.2476	0.2526	0.2609	0.2572	0.1765	0.1216	0.6192308	-0.17734799	-0.6181935
77.5	46.5	78.09246931097044	29.90230119506337	0.0462	0.063	0.0892	0.0972	0.144	0.2093	0.2387	0.2601	0.2564	0.2572	0.233	0.1868	0.4559194	-0.05495845	-0.48926425
78.5	46.5	78.09256155066522	29.90230119506337	0.0462	0.0748	0.1002	0.1152	0.144	0.2093	0.2387	0.2569	0.2564	0.2572	0.233	0.1868	0.38081163	-0.0487855	-0.43881267
79.5	46.5	78.09265379036	29.90230119506337	0.0469	0.0676	0.0918	0.11	0.157	0.22	0.2498	0.2611	0.2724	0.2572	0.2776	0.2079	0.40716788	0.030629287	-0.4797393
80.5	46.5	78.09274603005478	29.90230119506337	0.0469	0.0724	0.1	0.1172	0.157	0.22	0.2498	0.2364	0.2724	0.2572	0.2776	0.2079	0.33710405	0.08015564	-0.40546966
81.5	46.5	78.09283826974955	29.90230119506337	0.0466	0.0758	0.1076	0.133	0.152	0.1944	0.2198	0.2144	0.2371	0.229	0.2817	0.2219	0.23431201	0.13565813	-0.331677
82.5	46.5	78.09293050944433	29.90230119506337	0.0466	0.0792	0.1038	0.1262	0.152	0.1944	0.2198	0.2131	0.2371	0.229	0.2817	0.2219	0.25611553	0.13864185	-0.34490377
83.5	46.5	78.09302274913911	29.90230119506337	0.0465	0.0677	0.0938	0.1158	0.1406	0.1801	0.2078	0.2138	0.2294	0.229	0.2768	0.2042	0.29733008	0.1284142	-0.39011702
84.5	46.5	78.09311498883389	29.90230119506337	0.0465	0.0677	0.0938	0.1158	0.1406	0.1801	0.2078	0.2138	0.2294	0.229	0.2768	0.2042	0.29733008	0.1284142	-0.39011702
85.5	46.5	78.09320722852866	29.90230119506337	0.0465	0.0558	0.0816	0.0996	0.1406	0.1801	0.2078	0.2201	0.2294	0.229	0.2768	0.2042	0.37691584	0.114107475	-0.4590653
86.5	46.5	78.09329946822344	29.90230119506337	0.0469	0.0558	0.0762	0.0894	0.1147	0.1881	0.2203	0.2164	0.2395	0.229	0.2246	0.1571	0.41530412	0.018594114	-0.4791524
87.5	46.5	78.09339170791822	29.90230119506337	0.0469	0.0461	0.062	0.0629	0.1147	0.1881	0.2203	0.2374	0.2395	0.229	0.2246	0.1571	0.58108556	-0.027705614	-0.5858383
29.5	47.5	78.08804180562117	29.902208955368593	0.0419	0.0467	0.074	0.0654	0.1112	0.2524	0.2989	0.3316	0.3148	0.3128	0.2094	0.1241	0.670529	-0.22587803	-0.6351085
30.5	47.5	78.08813404531595	29.902208955368593	0.0396	0.0656	0.0999	0.0938	0.1413	0.2401	0.2741	0.3211	0.2942	0.3128	0.2222	0.152	0.54784286	-0.18203568	-0.52541566
31.5	47.5	78.08822628501073	29.902208955368593	0.0396	0.0786	0.1116	0.1168	0.1413	0.2401	0.2741	0.2849	0.2942	0.3128	0.2222	0.152	0.41847152	-0.123644255	-0.43707442
32.5	47.5	78.0883185247055	29.902208955368593	0.0392	0.0606	0.0926	0.0903	0.1319	0.2088	0.2263	0.243	0.2483	0.3128	0.2062	0.1313	0.4581458	-0.08192341	-0.44815254
33.5	47.5	78.08841076440028	29.902208955368593	0.0392	0.0552	0.0852	0.0753	0.1319	0.2088	0.2263	0.238	0.2483	0.3128	0.2062	0.1313	0.5193106	-0.07158938	-0.4727723
34.5	47.5	78.08850300409506	29.902208955368593	0.0402	0.0511	0.0834	0.0758	0.1267	0.2029	0.2253	0.2358	0.2419	0.2997	0.1951	0.1231	0.5134788	-0.09445348	-0.47744358
35.5	47.5	78.08859524378984	29.902208955368593	0.0402	0.0462	0.0769	0.0751	0.1267	0.2029	0.2253	0.243	0.2419	0.2997	0.1951	0.1231	0.5278215	-0.10933578	-0.51922476
36.5	47.5	78.0886874834846	29.902208955368593	0.0415	0.0654	0.0914	0.0926	0.1313	0.2324	0.2546	0.2618	0.273	0.2997	0.2126	0.1303	0.47742662	-0.10370995	-0.4824462
37.5	47.5	78.08877972317939	29.902208955368593	0.0415	0.0541	0.0812	0.0732	0.1313	0.2324	0.2546	0.2618	0.273	0.2997	0.2126	0.1303	0.56298506	-0.10370995	-0.52653056
38.5	47.5	78.08887196287417	29.902208955368593	0.0429	0.0524	0.0788	0.0752	0.1316	0.2086	0.2345	0.2291	0.2523	0.2997	0.2227	0.1604	0.5057509	-0.014165569	-0.4881455
39.5	47.5	78.08896420256895	29.902208955368593	0.0436	0.0486	0.0748	0.0628	0.1405	0.2525	0.2798	0.2722	0.3084	0.2997	0.2096	0.1446	0.6250746	-0.12992941	-0.5688761
