Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDVI	NDWI	NDBI	PISI
55.5	13.5	77.94101173214747	29.798162579660726	0.0612	0.0537	0.0651	0.0586	0.0771	0.1084	0.1212	0.1194	0.1218	0.1341	0.1084	0.0697	0.34157303	0.26282388	-0.04828797	0.050515138
56.5	13.5	77.94110397184224	29.798162579660726	0.0612	0.0551	0.0653	0.0577	0.0771	0.1084	0.1212	0.1148	0.1218	0.1341	0.1084	0.0697	0.33101448	0.24444441	-0.02867382	0.054300122
2.5	14.5	77.93612302832432	29.79807033996595	0.0629	0.0602	0.0785	0.0687	0.0935	0.139	0.1501	0.1606	0.1588	0.1734	0.1185	0.074	0.400785	0.369139	-0.15084201	0.032211736
14.5	14.5	77.93722990466163	29.79807033996595	0.0656	0.0822	0.1004	0.1148	0.1251	0.1375	0.1464	0.1588	0.1543	0.1817	0.1966	0.1831	0.16081874	-0.0710734	0.10635903	0.051266436
15.5	14.5	77.93732214435641	29.79807033996595	0.0656	0.0763	0.0938	0.1084	0.1251	0.1375	0.1464	0.15	0.1543	0.1817	0.1966	0.1831	0.16099072	-0.09936954	0.13444893	0.051479958
16.5	14.5	77.93741438405118	29.79807033996595	0.0656	0.0633	0.0826	0.0827	0.1068	0.1443	0.1521	0.148	0.1644	0.1817	0.1476	0.112	0.28305158	0.13846153	-0.0013532029	0.041977357
17.5	14.5	77.93750662374596	29.79807033996595	0.0656	0.0627	0.0821	0.0705	0.1068	0.1443	0.1521	0.17	0.1644	0.1817	0.1476	0.112	0.4137214	0.20567375	-0.07052899	0.028868841
18.5	14.5	77.93759886344074	29.79807033996595	0.0656	0.0627	0.0821	0.0705	0.1068	0.1443	0.1521	0.17	0.1644	0.1817	0.1476	0.112	0.4137214	0.20567375	-0.07052899	0.028868841
19.5	14.5	77.93769110313552	29.79807033996595	0.0649	0.0654	0.0883	0.0807	0.1056	0.1626	0.1804	0.1804	0.1817	0.2043	0.1418	0.0982	0.381846	0.29504666	-0.11980136	0.025116278
53.5	14.5	77.94082725275791	29.79807033996595	0.0612	0.0568	0.0639	0.0536	0.0754	0.1196	0.1274	0.1185	0.1339	0.1341	0.1018	0.0677	0.37710634	0.27282494	-0.075805716	0.05357081
54.5	14.5	77.9409194924527	29.79807033996595	0.0612	0.0541	0.0651	0.0585	0.0791	0.1119	0.1123	0.1134	0.125	0.1341	0.1047	0.0725	0.31937173	0.22001076	-0.03988995	0.05428382
55.5	14.5	77.94101173214747	29.79807033996595	0.0612	0.0541	0.0651	0.0585	0.0791	0.1119	0.1123	0.1134	0.125	0.1341	0.1047	0.0725	0.31937173	0.22001076	-0.03988995	0.05428382
14.5	15.5	77.93722990466163	29.797978100271173	0.0656	0.0786	0.098	0.1102	0.1094	0.1381	0.1459	0.1524	0.1503	0.1817	0.1684	0.1481	0.16070068	0.014309478	0.04987532	0.051987715
15.5	15.5	77.93732214435641	29.797978100271173	0.0656	0.0713	0.0848	0.0879	0.1094	0.1381	0.1459	0.1434	0.1503	0.1817	0.1684	0.1481	0.23994812	-0.016123516	0.080179624	0.05116906
16.5	15.5	77.93741438405118	29.797978100271173	0.0656	0.0614	0.0803	0.0698	0.0939	0.1455	0.1519	0.1562	0.1633	0.1817	0.1249	0.0796	0.3823009	0.3248516	-0.1113483	0.035718177
17.5	15.5	77.93750662374596	29.797978100271173	0.0656	0.0617	0.0789	0.0683	0.0939	0.1455	0.1519	0.1666	0.1633	0.1817	0.1249	0.0796	0.41847596	0.35337126	-0.14305319	0.02999954
18.5	15.5	77.93759886344074	29.797978100271173	0.0649	0.0627	0.0791	0.0687	0.1023	0.1565	0.1709	0.172	0.1766	0.2043	0.1256	0.0793	0.42916495	0.36888182	-0.15591401	0.027721839
19.5	15.5	77.93769110313552	29.797978100271173	0.0649	0.0627	0.0791	0.0687	0.1023	0.1565	0.1709	0.172	0.1766	0.2043	0.1256	0.0793	0.42916495	0.36888182	-0.15591401	0.027721839
54.5	15.5	77.9409194924527	29.797978100271173	0.0612	0.0596	0.0704	0.0612	0.0791	0.1119	0.1123	0.1332	0.125	0.1341	0.1047	0.0725	0.3703704	0.29508996	-0.11979826	0.047434118
55.5	15.5	77.94101173214747	29.797978100271173	0.0612	0.0646	0.0746	0.0691	0.0791	0.1119	0.1123	0.1151	0.125	0.1341	0.1047	0.0725	0.24972855	0.22707888	-0.04731573	0.06191047
