,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
37,0.1092,0.1074,0.1336,0.152,0.1784,0.1943,0.2024,0.1954,0.2157,0.227,0.2313,0.2178,0.08413404,0.12492805,1
38,0.1092,0.126,0.1482,0.1708,0.1784,0.1943,0.2024,0.1933,0.2157,0.227,0.2313,0.2178,0.089496,0.061796192,1
39,0.1066,0.1136,0.1388,0.1474,0.1791,0.185,0.1944,0.175,0.1905,0.227,0.207,0.2025,0.08376965,0.08560791,1
40,0.1066,0.1244,0.1512,0.1686,0.1791,0.185,0.1944,0.2032,0.1905,0.227,0.207,0.2025,0.009263786,0.0930608,1
41,0.102,0.1372,0.1628,0.1786,0.2004,0.2075,0.2133,0.2016,0.2227,0.2107,0.2203,0.2091,0.044323307,0.060494483,1
42,0.102,0.1518,0.1852,0.2026,0.2004,0.2075,0.2133,0.2277,0.2227,0.2107,0.2203,0.2091,-0.016517837,0.05833138,1
43,0.1051,0.1508,0.1926,0.228,0.2181,0.2508,0.2697,0.3017,0.2772,0.2621,0.2692,0.2367,-0.056927655,0.13913535,1
44,0.1052,0.152,0.1836,0.2178,0.2138,0.228,0.2401,0.2631,0.2371,0.227,0.2569,0.2349,-0.01192305,0.09419836,1
45,0.1052,0.1162,0.1488,0.1604,0.2138,0.228,0.2401,0.2063,0.2371,0.227,0.2569,0.2349,0.10924008,0.12517044,1
46,0.1052,0.1162,0.1488,0.1604,0.2138,0.228,0.2401,0.2063,0.2371,0.227,0.2569,0.2349,0.10924008,0.12517044,1
47,0.1043,0.1152,0.1406,0.1604,0.1731,0.1898,0.1854,0.1948,0.2012,0.227,0.2095,0.204,0.036359128,0.09684685,1
48,0.1043,0.115,0.1354,0.1602,0.1731,0.1898,0.1854,0.182,0.2012,0.227,0.2095,0.204,0.070242666,0.06370543,1
49,0.1033,0.0814,0.102,0.1162,0.1632,0.1748,0.1821,0.1554,0.1863,0.227,0.1865,0.2016,0.09096228,0.14432988,1
50,0.1033,0.095,0.1132,0.1262,0.1632,0.1748,0.1821,0.1536,0.1863,0.227,0.1865,0.2016,0.09673622,0.09792709,1
51,0.102,0.129,0.1486,0.169,0.2004,0.2075,0.2133,0.196,0.2227,0.2107,0.2203,0.2091,0.058371387,0.07397259,1
52,0.102,0.1318,0.1528,0.1834,0.2004,0.2075,0.2133,0.2063,0.2227,0.2107,0.2203,0.2091,0.032817625,0.05876315,1
53,0.0986,0.1456,0.1684,0.1986,0.2067,0.2292,0.2408,0.2242,0.2368,0.2107,0.2254,0.2048,0.0026690513,0.060548726,1
54,0.1051,0.1184,0.1756,0.1912,0.2181,0.2508,0.2697,0.2656,0.2772,0.2621,0.2692,0.2367,0.006731491,0.16287214,1
55,0.1052,0.1314,0.1488,0.1786,0.2138,0.228,0.2401,0.2153,0.2371,0.227,0.2569,0.2349,0.0880983,0.093170844,1
56,0.1052,0.108,0.1406,0.1506,0.2138,0.228,0.2401,0.1999,0.2371,0.227,0.2569,0.2349,0.12478111,0.1406562,1
57,0.1052,0.108,0.1406,0.1506,0.2138,0.228,0.2401,0.1999,0.2371,0.227,0.2569,0.2349,0.12478111,0.1406562,1
58,0.1043,0.1312,0.1478,0.1692,0.1731,0.1898,0.1854,0.1916,0.2012,0.227,0.2095,0.204,0.044627286,0.062084235,1
59,0.1043,0.1172,0.1426,0.1534,0.1731,0.1898,0.1854,0.1836,0.2012,0.227,0.2095,0.204,0.06588656,0.08961421,1
60,0.1033,0.1004,0.1186,0.1364,0.1632,0.1748,0.1821,0.1932,0.1863,0.227,0.1865,0.2016,-0.017645534,0.17233011,1
61,0.1033,0.0922,0.1036,0.1272,0.1632,0.1748,0.1821,0.1859,0.1863,0.227,0.1865,0.2016,0.001611158,0.18748002,1
62,0.1015,0.092,0.1042,0.1226,0.1645,0.1769,0.1807,0.1613,0.1904,0.2107,0.1888,0.1967,0.07854899,0.13631563,1
63,0.1015,0.129,0.1516,0.1692,0.1645,0.1769,0.1807,0.1949,0.1904,0.2107,0.1888,0.1967,-0.015897833,0.07058501,1
64,0.1,0.1344,0.156,0.1676,0.1691,0.1767,0.1868,0.1959,0.1773,0.2107,0.2009,0.1938,0.012600832,0.077854164,1
65,0.1,0.1013,0.1406,0.1428,0.1691,0.1767,0.1868,0.1764,0.1773,0.2107,0.2009,0.1938,0.06493506,0.105263166,1
66,0.0977,0.1118,0.1334,0.1532,0.1754,0.1899,0.1974,0.1908,0.202,0.2125,0.2159,0.1949,0.06171627,0.10930231,1
67,0.0977,0.1168,0.1488,0.1616,0.1754,0.1899,0.1974,0.2026,0.202,0.2125,0.2159,0.1949,0.031780172,0.11257553,1
68,0.0977,0.1168,0.1488,0.1616,0.1754,0.1899,0.1974,0.2026,0.202,0.2125,0.2159,0.1949,0.031780172,0.11257553,1
69,0.0973,0.1336,0.1554,0.173,0.1794,0.1887,0.192,0.2044,0.1977,0.2125,0.2069,0.2003,0.0060782824,0.08320087,1
70,0.0973,0.1208,0.1394,0.1588,0.1794,0.1887,0.192,0.1866,0.1977,0.2125,0.2069,0.2003,0.05158831,0.08048637,1
71,0.0986,0.1128,0.1346,0.1562,0.1848,0.1906,0.1965,0.1887,0.1984,0.2125,0.1991,0.2167,0.02681794,0.094230205,1
72,0.0986,0.1058,0.1252,0.145,0.1848,0.1906,0.1965,0.1969,0.1984,0.2125,0.1991,0.2167,0.0055555743,0.15179877,1
73,0.1001,0.0984,0.1156,0.1324,0.1721,0.1878,0.1912,0.1955,0.1979,0.209,0.1918,0.2087,-0.009553325,0.1924367,1
74,0.1001,0.093,0.1146,0.128,0.1721,0.1878,0.1912,0.1759,0.1979,0.209,0.1918,0.2087,0.043241777,0.15761761,1
75,0.1,0.1144,0.1276,0.1408,0.1691,0.1767,0.1868,0.1649,0.1773,0.2107,0.2009,0.1938,0.09841443,0.07883548,1
76,0.0977,0.1214,0.1466,0.1618,0.1754,0.1899,0.1974,0.198,0.202,0.2125,0.2159,0.1949,0.043247174,0.100611456,1
77,0.0977,0.1214,0.1466,0.1618,0.1754,0.1899,0.1974,0.198,0.202,0.2125,0.2159,0.1949,0.043247174,0.100611456,1
78,0.0973,0.1278,0.1452,0.163,0.1794,0.1887,0.192,0.1887,0.1977,0.2125,0.2069,0.2003,0.046006054,0.07307365,1
79,0.0973,0.118,0.14,0.155,0.1794,0.1887,0.192,0.1825,0.1977,0.2125,0.2069,0.2003,0.06266049,0.081481494,1
80,0.0986,0.1136,0.1408,0.1552,0.1848,0.1906,0.1965,0.1861,0.1984,0.2125,0.1991,0.2167,0.033748694,0.090536185,1
81,0.0986,0.1194,0.1414,0.1584,0.1848,0.1906,0.1965,0.1874,0.1984,0.2125,0.1991,0.2167,0.03027168,0.083863504,1
82,0.1001,0.1168,0.1396,0.1606,0.1721,0.1878,0.1912,0.2042,0.1979,0.209,0.1918,0.2087,-0.031313136,0.11951752,1
83,0.1001,0.1164,0.1326,0.1568,0.1721,0.1878,0.1912,0.2014,0.1979,0.209,0.1918,0.2087,-0.024415053,0.124511436,1
84,0.1008,0.0972,0.1144,0.1292,0.1502,0.165,0.1728,0.1598,0.1654,0.209,0.1817,0.188,0.06412888,0.10588235,1
85,0.0915,0.1064,0.14,0.1472,0.1711,0.1851,0.1939,0.1796,0.2045,0.2125,0.2059,0.176,0.06822308,0.0991432,1
86,0.0914,0.1192,0.1362,0.1506,0.1713,0.1898,0.2011,0.1781,0.2007,0.2125,0.2097,0.1885,0.081485294,0.08366293,1
87,0.0914,0.1192,0.1362,0.1506,0.1713,0.1898,0.2011,0.1781,0.2007,0.2125,0.2097,0.1885,0.081485294,0.08366293,1
88,0.0914,0.1174,0.1462,0.1598,0.1713,0.1898,0.2011,0.1924,0.2007,0.2125,0.2097,0.1885,0.04302415,0.09256105,1
89,0.0943,0.1238,0.1498,0.1732,0.1878,0.2038,0.2111,0.202,0.2219,0.2125,0.2212,0.208,0.04536861,0.07675909,1
90,0.0943,0.1314,0.1534,0.1732,0.1878,0.2038,0.2111,0.2074,0.2219,0.2125,0.2212,0.208,0.032197878,0.089858115,1
91,0.0981,0.1338,0.1562,0.1792,0.2002,0.2096,0.2167,0.2097,0.2187,0.209,0.2287,0.2221,0.0433394,0.07842635,1
92,0.0981,0.1282,0.1556,0.1742,0.2002,0.2096,0.2167,0.21,0.2187,0.209,0.2287,0.2221,0.04262595,0.09318063,1
93,0.0914,0.1032,0.1192,0.1376,0.1713,0.1898,0.2011,0.1711,0.2007,0.2125,0.2097,0.1885,0.10136554,0.1085196,1
94,0.0914,0.1032,0.1192,0.1376,0.1713,0.1898,0.2011,0.1711,0.2007,0.2125,0.2097,0.1885,0.10136554,0.1085196,1
